time (sec),X raw (m/s^2),Y raw (m/s^2),Z raw (m/s^2)
0,0.292989,2.17557,9.73103
0.010039,-0.134673,2.03895,9.75767
0.0200781,-0.161159,2.29498,9.68569
0.0301171,0.301069,2.10569,9.47964
0.0401562,0.554105,2.0804,9.31893
0.0501952,0.554105,2.0804,9.31893
0.0602343,0.554105,2.0804,9.31893
0.0702733,0.554404,2.47185,9.11722
0.0803124,0.655409,2.48053,9.39839
0.0903514,0.707184,2.52737,9.43505
0.10039,0.707184,2.52737,9.43505
0.11043,1.14278,2.78549,9.23469
0.120469,0.985359,2.59844,8.86374
0.130508,0.650322,2.65112,8.86344
0.140547,0.650322,2.65112,8.86344
0.150586,0.563083,2.8428,9.38896
0.160625,0.563083,2.8428,9.38896
0.170664,0.60962,2.94755,9.84955
0.180703,0.652566,2.86525,9.83698
0.190742,0.706136,2.06469,9.78071
0.200781,0.746987,2.63271,9.34093
0.21082,0.774071,2.39524,9.61581
0.220859,0.760155,2.24949,9.64409
0.230898,0.549915,2.10793,9.50807
0.240937,0.549915,2.10793,9.50807
0.250976,-0.109684,2.00753,10.5528
0.261015,-0.0392049,2.29947,10.6031
0.271054,-0.0392049,2.29947,10.6031
0.281093,0.107439,2.32655,10.3146
0.291132,0.386961,2.01172,9.82515
0.301171,0.386961,2.01172,9.82515
0.31121,0.400578,2.05032,9.66968
0.32125,0.562036,1.96728,9.32986
0.331289,1.09295,2.00005,9.19294
0.341328,0.960818,2.19742,9.40093
0.351367,0.123151,2.39628,9.75527
0.361406,-0.297478,2.0415,9.75288
0.371445,-0.0555153,2.15342,9.77084
0.381484,0.342369,2.66428,9.81064
0.391523,0.494999,2.90071,9.49251
0.401562,0.439633,2.93258,9.34557
0.411601,0.281617,2.98885,9.24786
0.42164,0.0834974,3.13803,9.18426
0.431679,-0.0393545,3.20343,9.22212
0.441718,-0.0900814,3.0086,9.44104
0.451757,-0.0363618,2.77412,9.36308
0.461796,0.110133,2.62433,9.20296
0.471835,0.333989,2.65321,9.15224
0.481874,0.429308,2.69107,9.39884
0.491913,0.405516,2.82888,9.50433
0.501952,0.295832,3.06995,9.48353
0.511991,0.216525,3.26897,9.38642
0.52203,0.245255,3.31655,9.11677
0.53207,0.224755,3.26014,8.79266
0.542109,0.0966654,3.06037,8.47753
0.552148,-0.0541685,2.8,8.9616
0.562187,0.0306756,2.83577,9.29409
0.572226,0.260218,2.89562,9.14999
0.582265,0.373643,2.91762,9.01921
0.592304,0.468363,2.92211,9.02714
0.602343,0.530163,2.90729,9.15927
0.612382,0.576102,2.95293,9.13742
0.622421,0.544977,2.88754,9.11618
0.63246,0.493652,2.80225,9.15598
0.642499,0.409257,2.82694,9.19788
0.652538,0.309,2.89577,9.23529
0.662577,0.270543,2.97897,9.28901
0.672616,0.246751,3.05095,9.28287
0.682655,0.249445,3.03718,9.3734
0.692694,0.26381,3.04586,9.43296
0.702733,0.349701,3.08012,9.40842
0.712772,0.475097,3.04062,9.47216
0.722811,0.59765,3.03449,9.5597
0.73285,0.673815,2.94829,9.50478
0.74289,0.600792,2.86525,9.48952
0.752929,0.51505,2.87303,9.56209
0.762968,0.456542,2.90266,9.60788
0.773007,0.381275,2.93124,9.49521
0.783046,0.309898,3.01698,9.43146
0.793085,0.236875,3.08042,9.41291
0.803124,0.199915,3.09599,9.34512
0.813163,0.191236,3.02551,9.36667
0.823202,0.204554,2.9269,9.45091
0.833241,0.23059,2.87048,9.55701
0.84328,0.25543,2.78384,9.58065
0.853319,0.277726,2.67221,9.64125
0.863358,0.301069,2.59874,9.71143
0.873397,0.336683,2.5736,9.71472
0.883436,0.365712,2.58034,9.6613
0.893475,0.321121,2.6381,9.56164
0.903514,0.261416,2.70888,9.48727
0.913553,0.266952,2.74614,9.42428
0.923592,0.310496,2.77307,9.45136
0.933631,0.402224,2.75751,9.50867
0.94367,0.491707,2.73357,9.5383
0.95371,0.510711,2.69556,9.52034
0.963749,0.534204,2.65486,9.51526
0.973788,0.592263,2.60039,9.43939
0.983827,0.621292,2.55176,9.34766
0.993866,0.586128,2.52796,9.30158
1.0039,0.525824,2.52303,9.29275
1.01394,0.49425,2.49504,9.34961
1.02398,0.472553,2.51016,9.41096
1.03402,0.476593,2.56178,9.45331
1.04406,0.502481,2.60847,9.45645
1.0541,0.542583,2.67311,9.39734
1.06414,0.580441,2.70289,9.34916
1.07418,0.560989,2.72564,9.3345
1.08422,0.53555,2.68658,9.31669
1.09426,0.483626,2.61999,9.32881
1.1043,0.438735,2.62478,9.36562
1.11433,0.465221,2.57884,9.42293
1.12437,0.508017,2.51614,9.45256
1.13441,0.567872,2.52752,9.42907
1.14445,0.579095,2.52557,9.38313
1.15449,0.488265,2.51121,9.28901
1.16453,0.376935,2.5543,9.29484
1.17457,0.349103,2.62478,9.30786
1.18461,0.402373,2.65112,9.2902
1.19465,0.492455,2.64513,9.34078
1.20469,0.588671,2.6589,9.44672
1.21472,0.665884,2.65142,9.50478
1.22476,0.693417,2.60892,9.50957
1.2348,0.694465,2.59231,9.51406
1.24484,0.650172,2.58034,9.48338
1.25488,0.554255,2.55176,9.3963
1.26492,0.486769,2.54682,9.35036
1.27496,0.439184,2.53844,9.29993
1.285,0.416739,2.52348,9.2709
1.29504,0.407311,2.53515,9.32402
1.30508,0.470907,2.51674,9.40438
1.31512,0.548269,2.48083,9.46917
1.32515,0.561886,2.45958,9.53725
1.33519,0.516397,2.40317,9.54698
1.34523,0.474498,2.39359,9.52992
1.35527,0.448162,2.43055,9.51032
1.36531,0.430804,2.46961,9.44179
1.37535,0.42452,2.53275,9.37355
1.38539,0.411202,2.58722,9.36682
1.39543,0.364665,2.63391,9.34901
1.40547,0.34596,2.63361,9.34093
1.41551,0.385764,2.60009,9.38148
1.42554,0.45729,2.59994,9.41799
1.43558,0.48213,2.59201,9.4162
1.44562,0.507419,2.60832,9.44194
1.45566,0.540339,2.63929,9.45615
1.4657,0.56039,2.62388,9.41156
1.47574,0.58104,2.60353,9.38986
1.48578,0.542284,2.54502,9.4165
1.49582,0.502331,2.48846,9.43086
1.50586,0.468513,2.42905,9.46154
1.5159,0.423772,2.39479,9.51406
1.52594,0.433947,2.40422,9.50179
1.53597,0.458787,2.4331,9.49132
1.54601,0.492305,2.45719,9.50942
1.55605,0.493502,2.48412,9.51615
1.56609,0.450706,2.45928,9.49565
1.57613,0.44921,2.38805,9.4771
1.58617,0.437239,2.31279,9.50733
1.59621,0.396687,2.27672,9.49266
1.60625,0.405516,2.28106,9.52349
1.61629,0.45744,2.33059,9.62689
1.62633,0.464173,2.37548,9.62539
1.63636,0.456392,2.39688,9.62225
1.6464,0.478389,2.38701,9.59337
1.65644,0.470907,2.38491,9.53456
1.66648,0.466717,2.35124,9.50987
1.67652,0.444272,2.31548,9.44867
1.68656,0.382472,2.27553,9.39929
1.6966,0.340424,2.25203,9.39944
1.70664,0.285058,2.25907,9.42099
1.71668,0.286106,2.24485,9.43849
1.72672,0.34626,2.2456,9.355
1.73676,0.310945,2.25652,9.33749
1.74679,0.306157,2.27119,9.29843
1.75683,0.318577,2.29588,9.20476
1.76687,0.317829,2.33897,9.13234
1.77691,0.328453,2.37279,9.10884
1.78695,0.340125,2.43504,9.08984
1.79699,0.315883,2.55011,9.04869
1.80703,0.301967,2.63106,9.01816
1.81707,0.287452,2.76364,8.94724
1.82711,0.231488,2.9474,8.88978
1.83715,0.171484,3.10721,8.86628
1.84718,0.113724,3.27809,8.83261
1.85722,0.0538693,3.48953,8.86314
1.86726,-0.0396538,3.65338,8.92823
1.8773,-0.133626,3.82756,8.89756
1.88734,-0.256029,4.03705,8.88529
1.89738,-0.386811,4.25777,9.0017
1.90742,-0.363169,4.54297,9.18845
1.91746,-0.150684,4.87218,9.38567
1.9275,0.0932238,5.15873,9.62255
1.93754,0.309748,5.37436,9.81034
1.94758,0.35838,5.57218,9.85179
1.95761,0.233583,5.7486,9.92496
1.96765,-0.0305259,5.84227,10.026
1.97769,-0.285507,5.92607,10.0468
1.98773,-0.477192,5.89464,10.0255
1.99777,-0.565777,5.77598,9.89533
2.00781,-0.487517,5.67617,9.83578
2.01785,-0.565777,5.51726,9.82815
2.02789,-0.707633,5.35864,9.81333
2.03793,-0.664687,5.40174,9.9088
2.04797,-0.442925,5.55661,9.97913
2.058,-0.163703,5.67198,10.0477
2.06804,-0.163703,5.67198,10.0477
2.07808,0.454297,5.9129,9.96058
2.08812,0.454297,5.9129,9.96058
2.09816,1.2143,5.58534,9.62015
2.1082,1.2143,5.58534,9.62015
2.11824,1.49338,5.02301,9.50329
2.12828,1.83096,3.23979,9.16466
2.13832,1.83096,3.23979,9.16466
2.14836,1.56341,2.17722,8.96908
2.1584,1.35421,1.15146,8.92838
2.16843,1.28568,0.219218,9.04944
2.17847,1.32863,-0.500535,9.15478
2.18851,1.5456,-1.08591,9.32267
2.19855,1.79819,-1.72187,9.48234
2.20859,2.07067,-2.25398,9.61851
2.21863,2.26266,-2.66548,9.8669
2.22867,2.11063,-3.06307,10.0049
2.23871,1.8133,-3.40529,10.1125
2.24875,1.68027,-3.58201,10.4307
2.25879,1.82751,-3.53457,10.6956
2.26882,2.03102,-3.30623,10.7589
2.27886,2.19607,-2.96386,10.7116
2.2889,2.21103,-2.53545,10.6839
2.29894,2.13307,-1.96578,10.5668
2.30898,2.02533,-1.37322,10.282
2.31902,1.93121,-0.810882,9.98916
2.32906,1.70781,-0.159214,9.69722
2.3391,1.44459,0.682045,9.51496
2.34914,1.32309,1.22463,9.36981
2.35918,1.36454,1.52914,9.27793
2.36922,1.37726,1.89066,9.2305
